Sector,Baseline,PostTariff,Abs_Change,Pct_Change,Country,SectorCode,SectorName
CHN_A01_02,3485629582941.1035,-0.019533131897315606,-3485629582941.123,-100.00000000000055,CHN,A01_02,"Agriculture, hunting, forestry"
CHN_A03,331490103956.04517,-0.0018570355548099202,-331490103956.047,-100.00000000000055,CHN,A03,Fishing and aquaculture
CHN_B05_06,2302180417420.3394,-0.01290616314263196,-2302180417420.352,-100.00000000000055,CHN,B05_06,"Mining and quarrying, energy producing products"
CHN_B07_08,454798745113.32166,-0.002550496731270148,-454798745113.3242,-100.00000000000055,CHN,B07_08,"Mining and quarrying, non-energy producing products"
CHN_B09,162256253920.09766,-0.0009086112450374208,-162256253920.09857,-100.00000000000055,CHN,B09,Mining support service activities
CHN_C10T12,2462774074033.616,-0.013805477508473933,-2462774074033.63,-100.00000000000055,CHN,C10T12,"Food products, beverages and tobacco"
CHN_C13T15,2069180961684.3755,-0.0115918787813626,-2069180961684.387,-100.00000000000055,CHN,C13T15,"Textiles, textile products, leather and footwear"
CHN_C16,270387744322.0949,-0.0015128139355089797,-270387744322.09644,-100.00000000000055,CHN,C16,Wood and products of wood and cork
CHN_C17_18,1299277776908.8171,-0.0072824288945400875,-1299277776908.8245,-100.00000000000055,CHN,C17_18,Paper products and printing
CHN_C19,1616859380973.8394,-0.009064144867431293,-1616859380973.8484,-100.00000000000055,CHN,C19,Coke and refined petroleum products
CHN_C20,2991068062517.541,-0.01676525502360151,-2991068062517.5576,-100.00000000000055,CHN,C20,Chemical and chemical products
CHN_C21,151277759811.53488,-0.00084544876403759,-151277759811.53574,-100.00000000000055,CHN,C21,"Pharmaceuticals, medicinal chemical and botanical products"
CHN_C22,952460177040.229,-0.005340306290936675,-952460177040.2344,-100.00000000000055,CHN,C22,Rubber and plastics products
CHN_C23,435020218344.1398,-0.0024412675281451964,-435020218344.1422,-100.00000000000055,CHN,C23,Other non-metallic mineral products
CHN_C24,2169058321234.8162,-0.012172184684187525,-2169058321234.8284,-100.00000000000055,CHN,C24,Basic metals
CHN_C25,799654041336.0195,-0.004483671075184131,-799654041336.024,-100.00000000000055,CHN,C25,Fabricated metal products
CHN_C26,1534347586595.0366,-0.008759796468826228,-1534347586595.0454,-100.00000000000058,CHN,C26,"Computer, electronic and optical equipment"
CHN_C27,880703485312.4706,-0.004944067914535762,-880703485312.4756,-100.00000000000058,CHN,C27,Electrical equipment
CHN_C28,1019731994873.8201,-0.005720169182391054,-1019731994873.8258,-100.00000000000055,CHN,C28,"Machinery and equipment, nec "
CHN_C29,930188358769.929,-0.005213291439372112,-930188358769.9342,-100.00000000000055,CHN,C29,"Motor vehicles, trailers and semi-trailers"
CHN_C30,219725732882.23776,-0.001230419160245448,-219725732882.23898,-100.00000000000055,CHN,C30,Other transport equipment
CHN_C31T33,365513074914.2011,-0.0020471225511382194,-365513074914.2032,-100.00000000000058,CHN,C31T33,Manufacturing nec; repair and installation of machinery and equipment
CHN_D,1887589150396.2498,-0.010584489102501638,-1887589150396.2603,-100.00000000000055,CHN,D,"Electricity, gas, steam and air conditioning supply"
CHN_E,392054523364.34424,-0.0021976086232068604,-392054523364.34644,-100.00000000000055,CHN,E,"Water supply; sewerage, waste management and remediation activities"
CHN_F,111500473182.76323,-0.0006241158956418367,-111500473182.76385,-100.00000000000055,CHN,F,Construction
CHN_G,2712310615246.9214,-0.01521228462588212,-2712310615246.9365,-100.00000000000055,CHN,G,Wholesale and retail trade; repair of motor vehicles
CHN_H49,1493697108239.854,-0.008375475998191797,-1493697108239.8623,-100.00000000000055,CHN,H49,Land transport and transport via pipelines
CHN_H50,363280396877.1001,-0.0020364295541398006,-363280396877.1021,-100.00000000000055,CHN,H50,Water transport
CHN_H51,166982413768.53876,-0.0009350329804523744,-166982413768.5397,-100.00000000000058,CHN,H51,Air transport
CHN_H52,335582158290.7384,-0.0018811113262794995,-335582158290.7403,-100.00000000000055,CHN,H52,Warehousing and support activities for transportation
CHN_H53,202132184878.4522,-0.0011325206405187038,-202132184878.45334,-100.00000000000055,CHN,H53,Postal and courier activities
CHN_I,899016862542.4019,-0.0050402665533794706,-899016862542.4069,-100.00000000000055,CHN,I,Accommodation and food service activities
CHN_J58T60,64448133180.94537,-0.0003602584936092548,-64448133180.94573,-100.00000000000055,CHN,J58T60,"Publishing, audiovisual and broadcasting activities"
CHN_J61,423695871151.42834,-0.002374266313047283,-423695871151.4307,-100.00000000000055,CHN,J61,Telecommunications
CHN_J62_63,280967320099.6017,-0.0015748528072181802,-280967320099.6033,-100.00000000000055,CHN,J62_63,IT and other information services
CHN_K,3211063012049.605,-0.018005413992071447,-3211063012049.623,-100.00000000000055,CHN,K,Financial and insurance activities
CHN_L,1494517947366.5703,-0.008378709795941826,-1494517947366.5786,-100.00000000000055,CHN,L,Real estate activities
CHN_M,1984005734494.0437,-0.011123232591138812,-1984005734494.055,-100.00000000000055,CHN,M,"Professional, scientific and technical activities"
CHN_N,946807316566.0417,-0.005308206155609643,-946807316566.047,-100.00000000000055,CHN,N,Administrative and support services
CHN_O,43480873575.33328,-0.00024274623392646393,-43480873575.33353,-100.00000000000055,CHN,O,Public administration and defence; compulsory social security
CHN_P,59396369571.90294,-0.0003319759960262879,-59396369571.903275,-100.00000000000055,CHN,P,Education
CHN_Q,20765773494.49217,-0.00011545547082873311,-20765773494.492283,-100.00000000000055,CHN,Q,Human health and social work activities
CHN_R,93724469925.47116,-0.0005243978328280557,-93724469925.47168,-100.00000000000055,CHN,R,"Arts, entertainment and recreation"
CHN_S,167119321785.78625,-0.0009362033817665956,-167119321785.7872,-100.00000000000055,CHN,S,Other service activities
CHN_T,1e-06,1e-06,0.0,0.0,CHN,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
USA_A01_02,181052854828.98526,-0.0009865414901078155,-181052854828.98624,-100.00000000000054,USA,A01_02,"Agriculture, hunting, forestry"
USA_A03,2168847684.8817844,-1.08523110671074e-05,-2168847684.8817954,-100.00000000000051,USA,A03,Fishing and aquaculture
USA_B05_06,316104345392.99023,-0.0017139818354580576,-316104345392.99194,-100.00000000000054,USA,B05_06,"Mining and quarrying, energy producing products"
USA_B07_08,62452805514.69624,-0.00033801980684958894,-62452805514.69658,-100.00000000000054,USA,B07_08,"Mining and quarrying, non-energy producing products"
USA_B09,21534998278.595566,-0.00011575806456599266,-21534998278.59568,-100.00000000000054,USA,B09,Mining support service activities
USA_C10T12,168636073412.97595,-0.0009144408274486084,-168636073412.97687,-100.00000000000054,USA,C10T12,"Food products, beverages and tobacco"
USA_C13T15,23881366051.553528,-0.00012852716366640478,-23881366051.553658,-100.00000000000054,USA,C13T15,"Textiles, textile products, leather and footwear"
USA_C16,113281393123.41003,-0.000612876136581121,-113281393123.41064,-100.00000000000054,USA,C16,Wood and products of wood and cork
USA_C17_18,335821824560.1861,-0.001820792323196626,-335821824560.1879,-100.00000000000055,USA,C17_18,Paper products and printing
USA_C19,248075960304.50482,-0.0013445233748611638,-248075960304.50616,-100.00000000000054,USA,C19,Coke and refined petroleum products
USA_C20,396127683112.3105,-0.00215264434071175,-396127683112.3126,-100.00000000000054,USA,C20,Chemical and chemical products
USA_C21,53313579666.7653,-0.00028799137725375675,-53313579666.76559,-100.00000000000054,USA,C21,"Pharmaceuticals, medicinal chemical and botanical products"
USA_C22,176544004866.90295,-0.0009567983841290228,-176544004866.9039,-100.00000000000054,USA,C22,Rubber and plastics products
USA_C23,117100411744.83835,-0.0006336208183015785,-117100411744.83899,-100.00000000000055,USA,C23,Other non-metallic mineral products
USA_C24,245324595864.92178,-0.0013295074243481907,-245324595864.92313,-100.00000000000055,USA,C24,Basic metals
USA_C25,283496559982.8331,-0.0015359712680734305,-283496559982.83466,-100.00000000000054,USA,C25,Fabricated metal products
USA_C26,204598419155.66156,-0.0011127582743364229,-204598419155.66266,-100.00000000000054,USA,C26,"Computer, electronic and optical equipment"
USA_C27,64589241307.84363,-0.0003494654552637016,-64589241307.84398,-100.00000000000054,USA,C27,Electrical equipment
USA_C28,136467993809.68303,-0.0007398846339235746,-136467993809.68376,-100.00000000000054,USA,C28,"Machinery and equipment, nec "
USA_C29,150145344835.4046,-0.0008142904749318838,-150145344835.40543,-100.00000000000055,USA,C29,"Motor vehicles, trailers and semi-trailers"
USA_C30,67819440189.980835,-0.00036739959835443194,-67819440189.9812,-100.00000000000054,USA,C30,Other transport equipment
USA_C31T33,113956782041.6496,-0.0006171936485540347,-113956782041.6502,-100.00000000000054,USA,C31T33,Manufacturing nec; repair and installation of machinery and equipment
USA_D,523131297788.0214,-0.002835512073241237,-523131297788.02423,-100.00000000000054,USA,D,"Electricity, gas, steam and air conditioning supply"
USA_E,127297308453.11282,-0.0006890242500586995,-127297308453.11351,-100.00000000000054,USA,E,"Water supply; sewerage, waste management and remediation activities"
USA_F,422704451177.8043,-0.002290719523978851,-422704451177.80664,-100.00000000000055,USA,F,Construction
USA_G,1903738589726.5771,-0.010331698449125137,-1903738589726.5874,-100.00000000000054,USA,G,Wholesale and retail trade; repair of motor vehicles
USA_H49,544627312403.46185,-0.0029531973962544722,-544627312403.4648,-100.00000000000054,USA,H49,Land transport and transport via pipelines
USA_H50,20570455976.291725,-0.00011082160900239989,-20570455976.291836,-100.00000000000054,USA,H50,Water transport
USA_H51,77766849477.2202,-0.00042160638713316606,-77766849477.22063,-100.00000000000055,USA,H51,Air transport
USA_H52,526626315755.8453,-0.0028546732079766752,-526626315755.84814,-100.00000000000055,USA,H52,Warehousing and support activities for transportation
USA_H53,298267657956.33514,-0.0016163702024291774,-298267657956.33673,-100.00000000000054,USA,H53,Postal and courier activities
USA_I,432522296055.4435,-0.0023440911658563265,-432522296055.4458,-100.00000000000054,USA,I,Accommodation and food service activities
USA_J58T60,699851790571.9451,-0.0037942673693518096,-699851790571.9489,-100.00000000000054,USA,J58T60,"Publishing, audiovisual and broadcasting activities"
USA_J61,678562803964.3779,-0.0036783419984622616,-678562803964.3816,-100.00000000000054,USA,J61,Telecommunications
USA_J62_63,1191864219182.3896,-0.0064622357124583096,-1191864219182.396,-100.00000000000054,USA,J62_63,IT and other information services
USA_K,4637105472892.0625,-0.025142174468904703,-4637105472892.088,-100.00000000000055,USA,K,Financial and insurance activities
USA_L,2096985252315.873,-0.011370210991858969,-2096985252315.8845,-100.00000000000055,USA,L,Real estate activities
USA_M,4083851356526.6265,-0.022146803603142983,-4083851356526.6484,-100.00000000000054,USA,M,"Professional, scientific and technical activities"
USA_N,2529818225900.987,-0.013716350431025303,-2529818225901.0005,-100.00000000000054,USA,N,Administrative and support services
USA_O,522901250538.8075,-0.002834090146080245,-522901250538.8103,-100.00000000000054,USA,O,Public administration and defence; compulsory social security
USA_P,81894539192.46704,-0.0004429754970036062,-81894539192.46748,-100.00000000000054,USA,P,Education
USA_Q,28234261614.07595,-0.00015206852955095625,-28234261614.076103,-100.00000000000054,USA,Q,Human health and social work activities
USA_R,124763056155.79929,-0.000675367111618924,-124763056155.79996,-100.00000000000054,USA,R,"Arts, entertainment and recreation"
USA_S,113233362059.60107,-0.0006129333287003959,-113233362059.60168,-100.00000000000054,USA,S,Other service activities
USA_T,1e-06,1e-06,0.0,0.0,USA,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
